[Tx] BF 03 7F 
[Rx] B4 44 07 
[Rx] B4 45 40 
[Rx] B4 46 12 
[Rx] B4 47 07 
[Rx] B4 48 40 
[Rx] B4 49 18 
[Rx] B4 4A 07 
[Rx] B4 4B 40 
[Rx] B4 4C 1E 
[Rx] B4 4D 07 
[Rx] B4 4E 00 
[Rx] B4 4F 40 
[Rx] B4 50 24 
[Rx] B4 51 07 
[Rx] B4 52 06 
[Rx] B4 53 00 
[Rx] B4 54 06 
[Rx] B4 55 6F 
[Rx] B4 56 00 
[Rx] B4 57 00 
[Rx] B4 60 01 
[Rx] B4 61 00 
[Rx] B4 62 40 
[Rx] B4 63 06 
[Rx] B4 64 13 
[Rx] B4 65 40 
[Rx] B4 66 0A 
[Rx] B4 67 13 
[Rx] B4 68 40 
[Rx] B4 69 0D 
[Rx] B4 6A 13 
[Rx] B4 6B 40 
[Rx] B4 6C 10 
[Rx] B4 6D 13 
[Rx] B4 6E 00 
[Rx] B4 6F 40 
[Rx] B4 70 14 
[Rx] B4 71 13 
[Rx] B4 72 06 
[Rx] B4 73 05 
[Rx] B4 74 06 
[Rx] B4 75 16 
[Rx] B4 76 00 
[Rx] B4 77 00 
[Rx] B4 78 01 
[Rx] B4 79 50 
[Rx] B4 7A 05 
[Rx] B4 7B 46 
[Rx] B4 7C 09 
[Rx] B4 7D 05 
